Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C5, C6",0805,4,1 uF,
"C10, C11, C12, C9",0805,4,1.5 uF,
C13,0805,1,22 nF,
"C14, C8",0805,2,10 nF,
"C3, C4",CP_Radial_D10.0mm_P5.00mm,2,100 uF,
C7,0805,1,20 nF,
"D1, D2",SOT-143,2,BAS3007,
"D3, D4",D_SOD-123,2,D_Zener,
"E1, E2, E3, E4, E5, E6",MountingHole_2.2mm_M2_ISO7380_Pad_TopBottom,6,TestPoint_Small,
F1,Fuseholder_Keystone_3555-2,1,Fuse,
"H1, H2, H3, H4",SolderWire-2sqmm_1x01_D2mm_OD3.9mm,4,Hole,
J5,PinHeader_1x02_P2.54mm_Vertical,1,Conn_01x02_Pin,
J7,PinHeader_1x04_P2.54mm_Vertical,1,Conn_01x04_Pin,
R1,1210,1,240 K,
"R10, R12, R13, R16, R2, R4, R6, R7",0603,8,10 K,
"R11, R5",0603,2,51.1 K,
R14,0603,1,30,
"R15, R3",0603,2,20 K,
R8,0603,1,3 K,
R9,0603,1,1 K,
RV1,Potentiometer_Bourns_3296W_Vertical,1,10K Pot,
RV2,Potentiometer_Bourns_3296W_Vertical,1,10 K Pot,
T1,XFMR_VPP12-800,1,VPP12-800,
T2,XFMR_CSE185L,1,CSE185L,
U1,TO-220-3_Vertical,1,12 V Regulator,
U2,TO-220-3_Vertical,1,5 V Regulator,
U3,TQFP-32_7x7mm_P0.8mm,1,ATmega328PB-A,
U4,DIP-8_W7.62mm_Socket,1,LM358,
"U5, U6",TSSOP-10_3x3mm_P0.5mm,2,ADS1115IDGS,
