Designator,Mid X,Mid Y,Rotation,Layer
C1,144.6,-103.1375,270.0,top
C10,141.75,-123.9,180.0,top
C11,141.75,-127.5,180.0,top
C12,141.75,-132.4,180.0,top
C13,146.5,-127.5,180.0,top
C14,146.5,-132.4,180.0,top
C2,144.6,-109.7375,90.0,top
C3,172.167677,-91.78,180.0,top
C4,148.07,-117.49,180.0,top
C5,156.0,-127.5,180.0,top
C6,156.0,-132.5,180.0,top
C7,162.3,-132.5,180.0,top
C8,151.24,-127.5,0.0,top
C9,162.1625,-127.5,0.0,top
D1,176.7,-76.3,180.0,top
D2,176.7,-81.65,0.0,top
D3,139.7,-117.3,180.0,top
D4,139.7,-135.4,180.0,top
F1,155.45,-56.4,0.0,top
J5,102.7,-121.32,0.0,top
J7,176.7,-67.39,180.0,top
R1,146.0,-76.3,90.0,top
R10,170.0,-126.3,0.0,top
R11,175.0,-126.3,0.0,top
R12,137.7,-120.7,0.0,top
R13,137.7,-123.9,0.0,top
R14,137.7,-127.5,180.0,top
R15,137.4,-132.4,180.0,top
R16,151.24,-132.4,0.0,top
R2,170.0,-115.0,0.0,top
R3,170.0,-119.0,0.0,top
R4,170.0,-123.0,0.0,top
R5,172.5,-111.0,180.0,top
R6,175.0,-115.0,0.0,top
R7,175.0,-119.0,0.0,top
R8,175.0,-123.0,0.0,top
R9,141.7,-120.7,0.0,top
RV1,156.29,-93.52,90.0,top
RV2,163.71,-93.42,90.0,top
T1,122.722,-88.14,0.0,top
T2,161.0,-74.7,0.0,top
U1,148.2,-106.46,270.0,top
U2,148.2,-93.54,270.0,top
U3,159.2,-106.45,270.0,top
U4,159.09,-118.19,180.0,top
U5,172.25,-101.0,270.0,top
U6,172.25,-106.5,270.0,top
