Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C4",CP_Radial_D10.0mm_P5.00mm,2,100 uF,
"C10, C11, C12, C9",0805,4,1.5 uF,
"C13, C8",0805,2,10 nF,
C14,0805,1,22 nF,
"C2, C3, C5, C6",0805,4,1 uF,
C7,0805,1,20 nF,
"D1, D2",SOT-143,2,BAS3007,
"D3, D4",D_SOD-123,2,D_Zener,
"E1, E2, E3, E4, E5, E6",MountingHole_2.2mm_M2_ISO7380_Pad_TopBottom,6,TestPoint_Small,
F1,Fuseholder_Keystone_3555-2,1,Fuse,
"H1, H2, H3, H4",SolderWire-2sqmm_1x01_D2mm_OD3.9mm,4,Hole,
"J1, J4",PinHeader_1x02_P2.54mm_Vertical,2,Conn_01x02_Pin,
J1-2,PinHeader_2x03_P2.54mm_Vertical,1,Conn_02x03_Odd_Even,
"J10, J8",PinHeader_1x01_P2.54mm_Vertical,2,Conn_01x01_Pin,
J5,PinHeader_1x04_P2.54mm_Vertical,1,Conn_01x04_Pin,
"J6, J7",PinSocket_1x02_P2.54mm_Vertical,2,Conn_01x02_Socket,
J9,PinSocket_1x04_P2.54mm_Vertical,1,Conn_01x04_Socket,
R1,1210,1,240 K,
R10,0603,1,1 K,
"R11, R13, R14, R17, R2, R3, R5, R7, R8",0603,9,10 K,
"R12, R6",0603,2,51.1 K,
R15,0603,1,30,
"R16, R4",0603,2,20 K,
R9,0603,1,3 K,
RV1,Potentiometer_Bourns_3296W_Vertical,1,10K Pot,
RV2,Potentiometer_Bourns_3296W_Vertical,1,10 K Pot,
T1,XFMR_VPP12-800,1,VPP12-800,
T2,XFMR_CSE185L,1,CSE185L,
U1,TO-220-3_Vertical,1,12 V Regulator,
U2,TO-220-3_Vertical,1,5 V Regulator,
U3,TQFP-32_7x7mm_P0.8mm,1,ATmega328PB-A,
U4,DIP-8_W7.62mm_Socket,1,LM358,
"U5, U6",TSSOP-10_3x3mm_P0.5mm,2,ADS1115IDGS,
