Designator,Mid X,Mid Y,Rotation,Layer
C1,168.617677,-92.35,180.0,top
C10,147.0,-133.6,90.0,top
C11,151.0,-133.6,270.0,top
C12,154.85,-133.6,270.0,top
C13,164.0,-133.6,270.0,top
C14,159.1,-133.6,270.0,top
C2,143.0,-128.3,270.0,top
C3,147.0,-128.3,270.0,top
C4,146.4,-118.95,0.0,top
C5,151.0,-128.3,270.0,top
C6,155.0,-128.3,270.0,top
C7,159.0,-128.3,270.0,top
C8,164.0,-128.3,270.0,top
C9,143.0,-133.6,270.0,top
D1,176.7,-76.3,180.0,top
D2,176.7,-81.65,0.0,top
D3,138.6,-127.5,180.0,top
D4,138.6,-134.4,180.0,top
F1,112.89,-120.05,0.0,top
J1,176.95,-126.27,180.0,top
J1-2,175.68,-117.55,0.0,top
J10,169.55,-105.1,0.0,top
J4,166.9,-55.78,0.0,top
J5,176.8,-67.12,0.0,top
J6,176.5,-91.32,0.0,top
J7,175.38,-109.775,270.0,top
J8,169.55,-100.5,0.0,top
J9,138.75,-119.47,180.0,top
R1,145.6,-71.4,90.0,top
R10,170.5,-115.0,90.0,top
R11,164.55,-121.0,270.0,top
R12,168.55,-121.0,90.0,top
R13,166.55,-121.0,90.0,top
R14,145.7,-77.15,270.0,top
R15,165.75,-105.95,90.0,top
R16,169.55,-124.5,180.0,top
R17,170.5,-121.0,270.0,top
R2,165.75,-101.5,90.0,top
R3,164.55,-110.0,90.0,top
R4,166.55,-110.0,90.0,top
R5,168.55,-110.0,90.0,top
R6,170.55,-110.0,90.0,top
R7,164.55,-115.0,270.0,top
R8,166.55,-115.0,90.0,top
R9,168.55,-115.0,270.0,top
RV1,153.5,-93.54,90.0,top
RV2,160.0,-93.54,90.0,top
T1,122.722,-88.14,0.0,top
T2,161.0,-74.7,0.0,top
U1,146.0,-93.54,270.0,top
U2,146.0,-106.46,270.0,top
U3,157.5,-106.45,270.0,top
U4,157.5,-118.45,180.0,top
U5,175.25,-99.0,270.0,top
U6,175.25,-104.0,270.0,top
